Status	Age	3275.94cm	2922.99cm	2853.55cm	1635.56cm	1540.09cm	1457.15cm	1379.04cm	1155.31	1076.23cm	1028.97cm	525.57cm
GR	5	0.04887	0.09494	0.07389	0.08127	0.07339	0.06817	0.06709	0.08689	0.11081	0.1332	0.1288
GR	5	0.07285	0.17704	0.13117	0.11103	0.0991	0.10572	0.09992	0.14694	0.16697	0.20025	0.19975
GR	5	0.07549	0.16754	0.12741	0.15867	0.15494	0.13176	0.13069	0.14299	0.17436	0.1889	0.21817
GR	5	0.07178	0.16131	0.12168	0.12443	0.11453	0.10812	0.10596	0.1372	0.1687	0.19967	0.19872
GR	5	0.08962	0.1348	0.10446	0.13844	0.1242	0.10434	0.10737	0.12641	0.175	0.21907	0.21311
GR	5	0.0585	0.1111	0.08547	0.09636	0.0884	0.08156	0.08191	0.10146	0.13903	0.16909	0.16104
GR	5	0.07525	0.16483	0.1246	0.15351	0.14742	0.12417	0.12173	0.13538	0.1601	0.1768	0.19884
GR	5	0.07966	0.13508	0.10313	0.12244	0.11293	0.10442	0.10477	0.12695	0.15982	0.19382	0.19812
GR	5	0.07523	0.18185	0.13915	0.15731	0.15807	0.13863	0.14259	0.15384	0.17633	0.19101	0.22358
GR	5	0.05651	0.15212	0.11476	0.11354	0.10794	0.10542	0.09947	0.12617	0.14227	0.1576	0.17136
GR	5	0.07345	0.15618	0.11827	0.11972	0.10717	0.10382	0.09897	0.1325	0.16248	0.19275	0.18762
GR	5	0.06443	0.19	0.14299	0.15101	0.15135	0.13816	0.13496	0.15508	0.17194	0.17952	0.2097
GR	5	0.0521	0.11489	0.088	0.07798	0.07069	0.07411	0.0714	0.10363	0.12817	0.15724	0.14938
GR	5	0.07497	0.13326	0.10328	0.16028	0.15984	0.12298	0.12628	0.12034	0.14584	0.1566	0.19551
